date,time,SENTIMENT
01-12-2022,09:30,1
01-12-2022,09:35,3
01-12-2022,09:40,1
01-12-2022,09:45,1
01-12-2022,09:50,4
01-12-2022,09:55,2
01-12-2022,10:00,2.833333333
01-12-2022,10:05,2.75
01-12-2022,10:10,5
01-12-2022,10:15,4
01-12-2022,10:20,1
01-12-2022,10:25,3.555555556
01-12-2022,10:30,2.777777778
01-12-2022,10:35,2.6
01-12-2022,10:40,5
01-12-2022,10:45,2.75
01-12-2022,10:50,2.923076923
01-12-2022,10:55,3.333333333
01-12-2022,11:00,2.357142857
01-12-2022,11:05,2.333333333
01-12-2022,11:10,1
01-12-2022,11:15,3.833333333
01-12-2022,11:20,2.5
01-12-2022,11:25,3.166666667
01-12-2022,11:30,2.833333333
01-12-2022,11:35,1
01-12-2022,11:40,1.6
01-12-2022,11:45,2.571428571
01-12-2022,11:50,3
01-12-2022,11:55,3.833333333
01-12-2022,12:00,4.666666667
01-12-2022,12:05,4.5
01-12-2022,12:10,3
01-12-2022,12:15,2.5
01-12-2022,12:20,3.181818182
01-12-2022,12:25,2.166666667
01-12-2022,12:30,2.891891892
01-12-2022,12:35,3.25
01-12-2022,12:40,2.818181818
01-12-2022,12:45,4.8
01-12-2022,12:50,2.777777778
01-12-2022,12:55,2.333333333
01-12-2022,13:00,3.4
01-12-2022,13:05,2.2
01-12-2022,13:10,3.666666667
01-12-2022,13:15,2.6
01-12-2022,13:20,2.9
01-12-2022,13:25,3
01-12-2022,13:30,2.3125
01-12-2022,13:35,3
01-12-2022,13:40,2
01-12-2022,13:45,2.571428571
01-12-2022,13:50,3.8
01-12-2022,13:55,1.666666667
01-12-2022,14:00,3.857142857
01-12-2022,14:05,2.571428571
01-12-2022,14:10,3.285714286
01-12-2022,14:15,1
01-12-2022,14:30,2.142857143
01-12-2022,14:35,4.333333333
01-12-2022,14:40,2.6
01-12-2022,14:45,2.5
01-12-2022,14:50,5
01-12-2022,14:55,3.4
01-12-2022,15:00,3.916666667
01-12-2022,15:05,3
01-12-2022,15:10,1
01-12-2022,15:15,3.2
01-12-2022,15:20,3
01-12-2022,15:25,4.428571429
01-12-2022,15:30,2.375
01-12-2022,15:35,2.75
01-12-2022,15:40,1.6
01-12-2022,15:45,3.833333333
01-12-2022,15:50,3.3
01-12-2022,15:55,2.714285714
02-12-2022,09:30,3.555555556
02-12-2022,09:35,5
02-12-2022,09:40,4.2
02-12-2022,09:45,1.9
02-12-2022,09:50,2.714285714
02-12-2022,09:55,1
02-12-2022,10:00,4.166666667
02-12-2022,10:05,3.333333333
02-12-2022,10:10,3.5
02-12-2022,10:15,3
02-12-2022,10:20,3.2
02-12-2022,10:25,3.666666667
02-12-2022,10:30,3.8
02-12-2022,10:35,2
02-12-2022,10:40,3.571428571
02-12-2022,10:45,3.75
02-12-2022,10:50,3.142857143
02-12-2022,10:55,3
02-12-2022,11:00,4.166666667
02-12-2022,11:05,3.666666667
02-12-2022,11:10,3.444444444
02-12-2022,11:15,5
02-12-2022,11:20,2.666666667
02-12-2022,11:25,3.3
02-12-2022,11:30,3.2
02-12-2022,11:35,2.5
02-12-2022,11:40,5
02-12-2022,11:45,2.2
02-12-2022,11:50,3.375
02-12-2022,11:55,4.2
02-12-2022,12:00,4.333333333
02-12-2022,12:05,4.5
02-12-2022,12:10,2.714285714
02-12-2022,12:15,2.4
02-12-2022,12:20,2.75
02-12-2022,12:25,4
02-12-2022,12:30,3.444444444
02-12-2022,12:35,2.375
02-12-2022,12:40,2.571428571
02-12-2022,12:45,3
02-12-2022,12:50,3.166666667
02-12-2022,12:55,3.666666667
02-12-2022,13:00,3.666666667
02-12-2022,13:05,4
02-12-2022,13:10,4.625
02-12-2022,13:15,2.923076923
02-12-2022,13:20,2.625
02-12-2022,13:25,3.666666667
02-12-2022,13:30,3
02-12-2022,13:35,3.5
02-12-2022,13:40,3.25
02-12-2022,13:45,3.6
02-12-2022,13:50,2.5
02-12-2022,13:55,3.066666667
02-12-2022,14:00,3.909090909
